sr_type,service_label,dept_name,overdue,within_90d,d91_365,d1_2yr,over_2yr,median_days_overdue
AMNESTYL,"LITTER, REQUEST FOR AMNESTY",PUBLIC SERVICES,39.0,1.0,2.0,4.0,32.0,1046.0
DFLTDOTE,"DEFAULT, DOTE",DEPT OF TRANS AND ENG,39.0,13.0,26.0,0.0,0.0,104.0
"RSTRTN,T",CONTRUCT/CONTRACT COMPLNT ROW,DEPT OF TRANS AND ENG,39.0,12.0,27.0,0.0,0.0,108.0
GRCRYCNC,"FOOD OPERATION, REQUEST GEN",CINC HEALTH DEPT,39.0,3.0,32.0,4.0,0.0,241.0
MOLD,"MOLD, BUILDING OR APARTMENT",CINC HEALTH DEPT,39.0,12.0,24.0,2.0,1.0,193.0
TIRES,"TIRES, SPECIAL COLLECTION",PUBLIC SERVICES,37.0,37.0,0.0,0.0,0.0,13.0
TLGR-PS,"TALL GRASS/WEEDS, CITY MAINT",PUBLIC SERVICES,35.0,29.0,6.0,0.0,0.0,34.0
LITR-PRV,"LITTER, PRIVATE PROPERTY",CINC BUILDING DEPT,34.0,8.0,9.0,6.0,11.0,427.5
BLDFACAD,"BUILDING, FACADE INSP",CINC BUILDING DEPT,33.0,0.0,0.0,12.0,21.0,883.0
DFLTMSD,"DEFAULT, MSD",METROPOLITAN SEWER,31.0,31.0,0.0,0.0,0.0,20.0
GUARDR,"GUARDRAIL, REPAIR",PUBLIC SERVICES,31.0,4.0,26.0,1.0,0.0,133.0
DFLTPLC,"DEFAULT, POLICE",POLICE DEPARTMENT,30.0,17.0,9.0,4.0,0.0,75.0
HDNGCPLT,HOARDING COMPLAINT,CITY MANAGER'S OFFICE,28.0,0.0,2.0,5.0,21.0,747.0
FIREEDUR,"FIRE, EDUCATION REQUEST",FIRE DEPT,26.0,17.0,9.0,0.0,0.0,68.5
