neighborhood,sr_type,service_label,committed_days,intake,evaluable,on_time,median_days_to_close
NORTH FAIRMOUNT,LITR-PRV,"LITTER, PRIVATE PROPERTY",45,265.0,225.0,159.0,17.0
NORTH FAIRMOUNT,PTHOLE,"POTHOLE, REPAIR",12,153.0,146.0,140.0,1.0
NORTH FAIRMOUNT,TLGR-PRV,"TALL GRASS/WEEDS, PRIVATE PROP",45,226.0,174.0,129.0,15.5
NORTHSIDE,BLD-RES,"BUILDING, RESIDENTIAL",365,442.0,245.0,135.0,23.5
NORTHSIDE,LITR-PRV,"LITTER, PRIVATE PROPERTY",45,383.0,305.0,272.0,4.5
NORTHSIDE,PTHOLE,"POTHOLE, REPAIR",12,474.0,446.0,415.0,2.0
NORTHSIDE,TLGR-PRV,"TALL GRASS/WEEDS, PRIVATE PROP",45,402.0,315.0,284.0,15.0
OAKLEY,BLD-RES,"BUILDING, RESIDENTIAL",365,496.0,264.0,188.0,42.0
OAKLEY,LITR-PRV,"LITTER, PRIVATE PROPERTY",45,289.0,255.0,232.0,6.0
OAKLEY,PTHOLE,"POTHOLE, REPAIR",12,1788.0,1521.0,1388.0,3.0
OAKLEY,TLGR-PRV,"TALL GRASS/WEEDS, PRIVATE PROP",45,361.0,280.0,244.0,11.0
OVER-THE-RHINE,BLD-RES,"BUILDING, RESIDENTIAL",365,467.0,284.0,196.0,40.0
OVER-THE-RHINE,LITR-PRV,"LITTER, PRIVATE PROPERTY",45,472.0,407.0,365.0,5.0
OVER-THE-RHINE,PTHOLE,"POTHOLE, REPAIR",12,279.0,262.0,249.0,2.0
OVER-THE-RHINE,TLGR-PRV,"TALL GRASS/WEEDS, PRIVATE PROP",45,223.0,156.0,123.0,17.0
PENDLETON,LITR-PRV,"LITTER, PRIVATE PROPERTY",45,142.0,114.0,109.0,2.0
PENDLETON,PTHOLE,"POTHOLE, REPAIR",12,180.0,165.0,154.0,3.0
PLEASANT RIDGE,BLD-RES,"BUILDING, RESIDENTIAL",365,355.0,234.0,135.0,15.5
PLEASANT RIDGE,LITR-PRV,"LITTER, PRIVATE PROPERTY",45,194.0,158.0,150.0,3.0
PLEASANT RIDGE,PTHOLE,"POTHOLE, REPAIR",12,632.0,558.0,496.0,3.0
PLEASANT RIDGE,TLGR-PRV,"TALL GRASS/WEEDS, PRIVATE PROP",45,268.0,176.0,164.0,4.0
QUEENSGATE,PTHOLE,"POTHOLE, REPAIR",12,771.0,657.0,589.0,2.0
RIVERSIDE,LITR-PRV,"LITTER, PRIVATE PROPERTY",45,122.0,103.0,79.0,14.0
RIVERSIDE,PTHOLE,"POTHOLE, REPAIR",12,257.0,230.0,214.0,3.0
ROSELAWN,BLD-RES,"BUILDING, RESIDENTIAL",365,422.0,288.0,159.0,102.0
ROSELAWN,LITR-PRV,"LITTER, PRIVATE PROPERTY",45,401.0,323.0,243.0,12.0
ROSELAWN,PTHOLE,"POTHOLE, REPAIR",12,725.0,643.0,612.0,3.0
ROSELAWN,TLGR-PRV,"TALL GRASS/WEEDS, PRIVATE PROP",45,286.0,221.0,199.0,12.0
SAYLER PARK,PTHOLE,"POTHOLE, REPAIR",12,527.0,440.0,419.0,2.0
SAYLER PARK,TLGR-PRV,"TALL GRASS/WEEDS, PRIVATE PROP",45,201.0,133.0,105.0,14.0
SEDAMSVILLE,TLGR-PRV,"TALL GRASS/WEEDS, PRIVATE PROP",45,139.0,114.0,92.0,15.0
SOUTH CUMMINSVILLE,TLGR-PRV,"TALL GRASS/WEEDS, PRIVATE PROP",45,173.0,124.0,85.0,18.0
SOUTH FAIRMOUNT,BLD-RES,"BUILDING, RESIDENTIAL",365,228.0,132.0,69.0,63.0
SOUTH FAIRMOUNT,LITR-PRV,"LITTER, PRIVATE PROPERTY",45,387.0,325.0,217.0,17.0
SOUTH FAIRMOUNT,PTHOLE,"POTHOLE, REPAIR",12,147.0,125.0,115.0,3.0
SOUTH FAIRMOUNT,TLGR-PRV,"TALL GRASS/WEEDS, PRIVATE PROP",45,291.0,222.0,129.0,24.0
SPRING GROVE VILLAGE,PTHOLE,"POTHOLE, REPAIR",12,307.0,268.0,257.0,2.0
SPRING GROVE VILLAGE,TLGR-PRV,"TALL GRASS/WEEDS, PRIVATE PROP",45,144.0,101.0,92.0,12.0
WALNUT HILLS,BLD-RES,"BUILDING, RESIDENTIAL",365,536.0,354.0,197.0,28.0
WALNUT HILLS,LITR-PRV,"LITTER, PRIVATE PROPERTY",45,534.0,445.0,373.0,12.0
WALNUT HILLS,PTHOLE,"POTHOLE, REPAIR",12,915.0,834.0,782.0,2.0
WALNUT HILLS,TLGR-PRV,"TALL GRASS/WEEDS, PRIVATE PROP",45,382.0,311.0,246.0,15.0
WEST END,BLD-RES,"BUILDING, RESIDENTIAL",365,619.0,382.0,219.0,49.0
WEST END,LITR-PRV,"LITTER, PRIVATE PROPERTY",45,629.0,561.0,472.0,5.0
WEST END,PTHOLE,"POTHOLE, REPAIR",12,486.0,450.0,415.0,2.0
WEST END,TLGR-PRV,"TALL GRASS/WEEDS, PRIVATE PROP",45,375.0,316.0,278.0,16.0
WEST PRICE HILL,BLD-RES,"BUILDING, RESIDENTIAL",365,1161.0,774.0,384.0,21.0
WEST PRICE HILL,LITR-PRV,"LITTER, PRIVATE PROPERTY",45,1493.0,1156.0,1008.0,8.0
WEST PRICE HILL,PTHOLE,"POTHOLE, REPAIR",12,1059.0,944.0,901.0,2.0
WEST PRICE HILL,TLGR-PRV,"TALL GRASS/WEEDS, PRIVATE PROP",45,1450.0,1076.0,872.0,15.0
WESTWOOD,BLD-RES,"BUILDING, RESIDENTIAL",365,1688.0,1059.0,639.0,64.0
WESTWOOD,LITR-PRV,"LITTER, PRIVATE PROPERTY",45,1404.0,1159.0,969.0,9.0
WESTWOOD,PTHOLE,"POTHOLE, REPAIR",12,2325.0,2071.0,2012.0,2.0
WESTWOOD,TLGR-PRV,"TALL GRASS/WEEDS, PRIVATE PROP",45,1255.0,929.0,795.0,15.0
WINTON HILLS,BLD-RES,"BUILDING, RESIDENTIAL",365,197.0,132.0,88.0,90.0
WINTON HILLS,PTHOLE,"POTHOLE, REPAIR",12,244.0,220.0,206.0,2.0
